bin,name,winery,style_type,main_varietal,appellation,sub_region,main_region,country,vintage,price,second_varietal,third_varietal,rp,ws,cases,alcohol,profile
7372,Walter Dacon,C'est Syrah Magnifique,,Syrah,,Yakima Valley,Columbia Valley,Washington,2006,85,,,,,,,
7373,Olsen Estates,Rouge Des Coteaux,,Proprietary Blend,,,Columbia Valley,Washington,2006,89,,,,,,,
7374,Baer,Arctos,,Proprietary Blend,,,Columbia Valley,Washington,08|09,92,,,,,,,
7375,Cadence,Tapteil,,Cabernet Sauvignon,,Red Mountain,Columbia Valley,Washington,2008,94,mlt,mlt,,,,,
7376,Mellisoni,Reserve,,Merlot,,Wahluke Slope,Columbia Valley,Washington,2006,94,,,,,,,
7377,Betz,Besoleil,,Grenache,,,Columbia Valley,Washington,2009,95,Syrah,Mourvedre,,,,,
7379,Reynvaan Family Vineyards,The Unnamed,,Syrah,,Walla Walla,Columbia Valley,Washington,2009,100,,,,,,,
7380,Betz,Clos de Betz,,,,,Columbia Valley,Washington,2009,107,,,,,,,
7381,Quilceda Creek,,,Cabernet Sauvignon,,,Columbia Valley,Washington,2008,108,,,,,,,
7382,Sparkman,Kingpin,,Cabernet Sauvignon,,Red Mountain,Columbia Valley,Washington,2008,108,,,,,,,
7383,Doyenne,Grand Ciel Vineyard,,Syrah,,Red Mountain,Columbia Valley,Washington,2008,111,,,,,,,
7384,Betz,La Serenne,,Syrah,,,Columbia Valley,Washington,2008,114,,,,,,,
7385,Barons V,,,Cabernet Sauvignon,,,Columbia Valley,Washington,2005,119,,,,,,,
7386,Feather,,,Cabernet Sauvignon,,,Columbia Valley,Washington,2007,120,,,,,,,
7387,Andrew Will,Sorella,,,,,Columbia Valley,Washington,2009,129,,,,,,,
7388,Owen Roe,DuBrul Vineyard,,Cabernet Sauvignon,,Yakima Valley,Columbia Valley,Washington,2009,135,,,,,,,
7389,Leonetti,,,Merlot,,,Columbia Valley,Washington,2009,139,,,,,,,
7390,Betz,Pere de Famille,,Cabernet Sauvignon,,,Columbia Valley,Washington,2009,140,,,,,,,
7391,DeLille,Chaleur Estate,,,,Yakima Valley,Columbia Valley,Washington,2008,148,,,,,,,
7392,DeLille Cellars,Harrison Hill,,,,Yakima Valley,Columbia Valley,Washington,2008,148,,,,,,,
7393,Leonetti,,,Cabernet Sauvignon,,Walla Walla Valley,Columbia Valley,Washington,2008,177,,,,,,,
7395,Quilceda Creek,,,Cabernet Sauvignon,,,Columbia Valley,Washington,2008,274,,,,,,,
7396,Leonetti,Reserve,,,,Walla Walla,Columbia Valley,Washington,2007,249,,,,,,,
7425,Byron,,,Pinot Noir,,Santa Maria Valley,Central Coast,California,2010,40,,,,,11500,,"11 Months in 100% French Oak, 35% New; aromas of dark berry and cherry accented by hints of floral and mineral. The flavor profile has a core of dark berry and dark cherry with hints of earth and brown spices, backed by a smooth, silky and long finish."
7426,Carlton Cellars,Cape Lookout,,Pinot Noir,,YamhillCarlton,Willamette Valley,Oregon,2008,62,,,,,,,"Translucent candy apple red. Strawberry, cherry, and earth on the nose. Medium bodied, strawberries, raspberries, smooth transitions, soft tannins, and a medium finish."
7427,Lange,Reserve,,Pinot Noir,,,Willamette Valley,Oregon,2009,65,,,,,1500,,"100% French Oak, 30% new, 10 months; winemakers, Don Lange and Jesse Lange; A bright garnet hue, this wine expresses notes of strawberry jam, red cherry, black tea, dried rose petal, and a current of flint on the nose. An approachable, silky palate reveals lively red cherry, candied apple, pomegranate, and a hint of Amaretto. Finishing with soft barrel spice and mild tannins."
7428,David Bruce,,,Pinot Noir,Sonoma Coast,Sonoma County,North Coast,California,2009,66,,,,,,,"This wine has an expression of red cherry, cranberry and plum coupled with lingering notes of nutmeg, cinnamon and a subtle hint of clove. On the palate, red cherry and plum dominate, with hints of vanilla, citrus, toasted pine nuts."
7429,Sokol Blosser,Dundee Hills Cuvee,,Pinot Noir,,Dundee Hills,Willamette Valley,Oregon,2009,75,,,,90,,,"A core of distinct flavors and aromas  truffle, mushroom, leather, cherry, berry, violet and spice."
7430,J. Christopher,Sandra Adele,,Pinot Noir,West Linn,Dundee Hills,Willamette Valley,Oregon,2008,78,,,,,,,The winery is owned by Jay Somers; who partnered with Ernst Loosen of Dr. loosen in Germany. Visit LoosenBrosUSA.com.
7431,Hartford Court,Land's Edge Vineyards,,,Sonoma Coast,Sonoma County,North Coast,California,2007,80,,,,,1637,,"Complex aromas of cocoa powder, black cherries and black raspberries are balanced with crushed quartz and dried rose petal nuances. The layered flavors of perfectly ripe, dark berries and dried flowers transition to a silky elegant and lingering finish of coffee and minerals. 100% French oak, 45% new; time in oak: 15 months"
7432,PennerAsh,,,,,,Willamette Valley,Oregon,2009,84,,,89,90,4800,,"Winemaker Lynn PennerAsh; Its darker fruit aromas are rather sultry, tending toward plum and black cherry, grounded with an earthy sweetness and hints of vanilla. All of this carries over to the palate, which seems to have a cherry cola quality without being cloying, as well as a lingering hint of tobacco and cocoa powder on the finish."
7433,Belle Glos,Las Alturas,,,Santa Lucia Highlands,Monterrey,Central Coast,California,2009,90,,,,92,,,"Bold, rich and layered, with dense dark berry fruit that shows touches of spice, wild berry and blackberry and attractive floral scents. Fullbodied, this expands on the finish, where the flavors fan out."
7434,EnRoute,Les Pommiers,,,,Russian River Valley,North Coast,California,2008,94,,,,,3275,,"Owned by Far Niente / Nickel & Nickel; Winemakers Gil and Beth Nickel; The fruit comes from Sonoma Coast, Green Valley and the Middle Reach. This is a very rich, ripe, flamboyant Pinot, made in the lush California style. It's flashy in complex tiers of raspberries, cherries, red currants, licorice, cocoa and cinnamon spice, yet is silky and dry."
7435,Benton Lane,,,,,,,Oregon,2005,129,,,,,,,
7436,Hartford Court,Arrendell Vineyard,,,,Russian River Valley,North Coast,California,2005,135,,,,,,,
7437,Aubert,UV Vineyard,,,Sonoma Coast,Sonoma County,North Coast,California,2006,147,,,,,,,
7438,Hanzell,,,,,,North Coast,California,04|05,165,,,,,,,
7451,Qupe,Bien Nacido Hillside Estate,,Syrah,,,Santa Maria Valley,California,2005,74,,,,,,,
7452,Arrowood,Saralee's Vineyard,,Syrah,,,Russian River Valley,California,2004,75,,,,,,,
7453,Failla,Phoenix Ranch,,Syrah,,,Napa County,California,2005,92,,,,,,,
7454,Shafer,Relentless,,Syrah,,,Napa County,California,2008,106,,,,,,,
7475,Frog's Leap,,,,,,Napa County,California,2008,63,,,,,,,
7476,Kunde,Century Vines,,,,,Sonoma,California,2006,70,,,,,,,
7611,Regnard,,,Chardonnay,,Macon Lugny,Chablis,France,2005,53,,,,,,,"Floral and fruity aromas, with touches of lemon and butter. In the mouth, this fruity wine has a good balance between the typical fleshy Chardonnay and a pleasant freshness."
7651,Vega Sindoa,Rose of Garnacha,,Garnacha,,,Navarra,Spain,2009,25,,,,,,,
7652,Darby & Joan,,,Chardonnay,,,South Australia,Australia,2008,30,,,,,,,
7653,La Cana,,,Albarino,,,Rias Baixas,Spain,2010,35,,,,,,,
7654,Sutherland,,,Chardonnay,,Elgin,South Africa,Africa,2007,35,,,,,,,
7655,King Estate,,,Pinot Gris,,,,Oregon,2011,46,,,,,,,
7656,Penfolds,Bin 311,,Chardonnay,,Tumbarumba,New South Wales,Australia,2008,48,,,,,,,
7657,Catena,,,Chardonnay,,,Mendoza,Argentina,2006,52,,,,,,,
7658,Thelema,,,Chardonnay,,Stellenbosch,South Africa,Africa,2007,60,,,,,,,
7675,Teruzzi & Puthod,,,,,Terre di Tufi,Tuscany,Italy,2009,45,,,,,,,
7676,Cavit Collection,Zeveri,,Muller-Thurgau,,Trentino Superiore,Trentino Alto Adige,Italy,2004,62,,,,,,,
7685,Chateau Fouquet,Domaine des Aubuisieres,Cuvee de Silex,Chenin Blanc,Vouvray,Touraine,Loire,France,2009,44,,,91,,,,"A nose of fresh quince, Persian melon, and honeysuckle leads to a palate subtly silken in texture, impeccably balanced, and with a prominently wet stone mineral character along with bittersweet hints of candied citrus rind."
7686,Pascal Jolivet,,,Sauvignon Blanc,,Sancerre,Loire,France,2010,56,,,,90,,,"A bony and mouthwatering style, with lots of flint framing the lime, chive and fleur de sel notes. Shows great cut on the finish."
7687,Domaine Huet,Clos du Bourg Sec,,Chenin Blanc,Vouvray,Touraine,Loire,France,2005,73,,,90,92,,,"Plump and juicy, with stone fruit, brown spice, humus, powdered ginger and acacia notes that run through the bright, welldefined finish, where the acidity kicks in. "
7688,Alphonse Mellot,La Moussiere,,Sauvignon Blanc,,Sancerre,Loire,France,2011,84,,,,,,,"Obvious nose of pear with lime behind. Mouth nice, fresh with a bit of fat , but mostly mineral. Good balance."
7711,Louis Jadot,,,Pinot Noir,Pommard,,Burgundy,France,2006,88,,,,,,,
8001,Abeja,,,Cabernet Sauvignon,,,Columbia Valley,Washington,2008,180,,,,,,,
8002,Woodward Canyon,Artist Series,,Cabernet Sauvignon,,,Columbia Valley,Washington,08|09,180,,,,,,,
8003,Dunham,,,Cabernet Sauvignon,,,Columbia Valley,Washington,2005,184,,,,,,,
8004,Faust,,,Cabernet Sauvignon,,,Napa County,California,2005,190,,,,,,,
8005,Betz,,,Syrah,,,Columbia Valley,Washington,2005,210,,,,,,,
8006,Saggi,,,Proprietary Blend,,,Columbia Valley,Washington,2007,210,,,,,,,
8007,ChesterKidder,,,Proprietary Blend,,,Columbia Valley,Washington,2006,220,,,,,,,
8008,Sequel,,,Syrah,,,Columbia Valley,Washington,2007,225,,,,,,,
8009,Pedestal,Long Shadows,,Merlot,,,Columbia Valley,Washington,2007,240,,,,,,,
8010,Pirouette,,,Proprietary Blend,,,Columbia Valley,Washington,2007,240,,,,,,,
8011,Betz,Pere de Famille,,Cabernet Sauvignon,,,Columbia Valley,Washington,2009,265,,,,,,,
8012,Heitz,Trailside,,Cabernet Sauvignon,,,Napa County,California,2005,300,,,,,,,
8013,Two Hands,Lilly's Garden,,Shiraz,,,McLaren Vale,Australia,2005,305,,,,,,,
8014,Quintessa,,,Proprietary Blend,,Rutherford,Napa County,California,2005,540,,,,,,,
8015,Gaja,Darmagi,,Nebiollo,,Barbaresco,Piedmont,Italy,2001,770,,,,,,,
8050,Kendall Jackson,Grand Reserve,,Chardonnay,,,,California,2004,195,,,,,,,
8051,Kendall Jackson,Vintner's Reserve,,Cabernet Sauvignon,,,,California,2005,240,,,,,,,
